# start	end	asn	country	description
1.0.0.0	1.0.0.255	13335	US	CLOUDFLARENET
1.0.1.0	1.0.3.255	13335	AU	CLOUDFLARENET
1.0.4.0	1.0.7.255	38803	AU	Wirefreebroadband Pty Ltd
1.0.8.0	1.0.15.255	38803	AU	Wirefreebroadband Pty Ltd
1.0.16.0	1.0.31.255	4826	AU	Vocus Connect International Backbone
1.0.32.0	1.0.63.255	4826	AU	Vocus Connect International Backbone
1.0.64.0	1.0.127.255	18144	JP	Energia Communications,Inc.
1.0.128.0	1.0.255.255	9737	KR	Korea Telecom
1.1.0.0	1.1.0.255	13335	US	CLOUDFLARENET
1.1.1.0	1.1.1.255	13335	US	CLOUDFLARENET
1.1.2.0	1.1.255.255	13335	US	CLOUDFLARENET
8.0.0.0	8.255.255.255	3356	US	LEVEL3
13.32.0.0	13.35.255.255	16509	US	AMAZON-02
13.48.0.0	13.55.255.255	16509	EU	AMAZON-02
13.56.0.0	13.59.255.255	16509	US	AMAZON-02
15.152.0.0	15.159.255.255	16509	US	AMAZON-02
23.0.0.0	23.15.255.255	16625	US	AKAMAI-AS
23.32.0.0	23.47.255.255	20940	US	AKAMAI-GLOBAL
31.13.0.0	31.13.127.255	32934	US	FACEBOOK
34.64.0.0	34.127.255.255	15169	US	GOOGLE
35.184.0.0	35.191.255.255	15169	US	GOOGLE
40.0.0.0	40.127.255.255	8075	US	MICROSOFT-CORP-MSN-AS-BLOCK
45.32.0.0	45.63.255.255	20473	US	AS-CHOOPA
52.0.0.0	52.95.255.255	16509	US	AMAZON-02
64.233.0.0	64.233.255.255	15169	US	GOOGLE
66.220.0.0	66.220.255.255	32934	US	FACEBOOK
72.14.0.0	72.14.255.255	15169	US	GOOGLE
74.125.0.0	74.125.255.255	15169	US	GOOGLE
80.20.0.0	80.20.255.255	12345	GB	Example-ISP-UK
91.198.174.0	91.198.174.255	43821	NL	WIKIMEDIA
103.21.244.0	103.21.247.255	13335	US	CLOUDFLARENET
104.16.0.0	104.31.255.255	13335	US	CLOUDFLARENET
108.160.0.0	108.191.255.255	15169	US	GOOGLE
112.118.0.0	112.118.255.255	9808	CN	CMNET
142.250.0.0	142.251.255.255	15169	US	GOOGLE
151.101.0.0	151.101.255.255	54113	US	FASTLY
157.240.0.0	157.240.255.255	32934	US	FACEBOOK
172.16.0.0	172.31.255.255	0	ZZ	Private-Network-RFC1918
172.217.0.0	172.217.255.255	15169	US	GOOGLE
173.194.0.0	173.194.255.255	15169	US	GOOGLE
185.220.100.0	185.220.103.255	209	NL	ASNL
192.0.2.0	192.0.2.255	0	ZZ	TEST-NET-1-RFC5737
192.168.0.0	192.168.255.255	0	ZZ	Private-Network-RFC1918
195.123.220.0	195.123.223.255	44050	GB	PONYNET
198.18.0.0	198.19.255.255	0	ZZ	Benchmark-Testing-RFC2544
203.0.113.0	203.0.113.255	0	ZZ	TEST-NET-3-RFC5737
209.85.128.0	209.85.255.255	15169	US	GOOGLE
216.58.192.0	216.58.223.255	15169	US	GOOGLE
