# Sample IP to ASN database
# Format: start_ip	end_ip	asn	country	description
# Full database available at: https://iptoasn.com/data/ip2asn-v4.tsv.gz
1.0.0.0	1.0.0.255	13335	US	CLOUDFLARENET
1.0.1.0	1.0.3.255	13335	US	CLOUDFLARENET
1.0.4.0	1.0.7.255	38803	AU	Wirefreebroadband
1.1.1.0	1.1.1.255	13335	US	CLOUDFLARENET
8.8.4.0	8.8.4.255	15169	US	GOOGLE
8.8.8.0	8.8.8.255	15169	US	GOOGLE
13.32.0.0	13.35.255.255	16509	US	AMAZON-02
23.0.0.0	23.15.255.255	16625	US	AKAMAI-AS
31.13.0.0	31.13.127.255	32934	US	FACEBOOK
45.32.0.0	45.32.255.255	20473	US	AS-CHOOPA
52.0.0.0	52.95.255.255	16509	US	AMAZON-02
80.20.0.0	80.20.255.255	12345	GB	Example-ISP
91.198.174.0	91.198.174.255	43821	NL	WIKIMEDIA
103.21.244.0	103.21.247.255	13335	US	CLOUDFLARENET
104.16.0.0	104.31.255.255	13335	US	CLOUDFLARENET
112.118.0.0	112.118.255.255	9808	CN	CMNET
151.101.0.0	151.101.255.255	54113	US	FASTLY
172.16.0.0	172.31.255.255	0	ZZ	Private-Network-RFC1918
185.220.100.0	185.220.103.255	209	NL	ASNL
192.0.2.0	192.0.2.255	0	ZZ	TEST-NET-1-RFC5737
192.168.0.0	192.168.255.255	0	ZZ	Private-Network-RFC1918
195.123.220.0	195.123.223.255	44050	GB	PONYNET
198.18.0.0	198.19.255.255	0	ZZ	Benchmark-Testing-RFC2544
203.0.113.0	203.0.113.255	0	ZZ	TEST-NET-3-RFC5737
